iter	Passed	Remaining
418	1812	2513
419	1813	2504
420	1818	2500
421	1820	2494
422	1822	2485
423	1822	2476
424	1823	2467
425	1824	2458
426	1825	2449
427	1826	2440
428	1826	2431
429	1827	2422
430	1836	2424
431	1838	2416
432	1840	2409
433	1840	2400
434	1841	2392
435	1842	2383
436	1843	2374
437	1847	2370
438	1849	2363
439	1850	2355
440	1851	2346
441	1852	2338
442	1853	2329
443	1853	2321
444	1854	2312
445	1855	2304
446	1855	2295
447	1856	2287
448	1857	2279
449	1861	2274
450	1863	2268
451	1864	2260
452	1865	2253
453	1866	2245
454	1867	2237
455	1868	2229
456	1869	2221
457	1870	2212
458	1870	2204
459	1871	2196
460	1872	2188
461	1872	2180
462	1879	2179
463	1880	2172
464	1881	2165
465	1883	2158
466	1885	2151
467	1886	2144
468	1886	2136
469	1887	2128
470	1892	2125
471	1898	2123
472	1899	2116
473	1900	2108
474	1900	2100
475	1901	2093
476	1903	2086
477	1907	2082
478	1909	2076
479	1911	2070
480	1912	2063
481	1913	2056
482	1914	2048
483	1914	2041
484	1915	2034
485	1916	2026
486	1917	2019
487	1918	2012
488	1921	2007
489	1922	2001
490	1923	1994
491	1924	1986
492	1925	1979
493	1925	1972
494	1926	1965
495	1927	1958
496	1928	1951
497	1929	1944
498	1938	1946
499	1939	1939
500	1940	1933
501	1941	1926
502	1948	1925
503	1951	1920
504	1952	1913
505	1952	1906
506	1953	1899
507	1958	1896
508	1959	1890
509	1962	1885
510	1963	1878
511	1964	1872
512	1965	1865
513	1965	1858
514	1966	1852
515	1967	1845
516	1968	1838
517	1968	1832
518	1973	1828
519	1974	1822
520	1975	1815
521	1975	1809
522	1976	1802
523	1977	1796
524	1978	1789
525	1979	1783
526	1980	1777
527	1981	1771
528	2010	1790
529	2012	1784
530	2015	1780
531	2023	1780
532	2026	1775
533	2027	1769
534	2028	1763
535	2029	1757
536	2031	1751
537	2037	1749
538	2039	1744
539	2041	1738
540	2043	1733
541	2044	1727
542	2045	1721
543	2046	1715
544	2046	1708
545	2053	1707
546	2055	1702
547	2057	1696
548	2058	1690
549	2058	1684
550	2059	1678
551	2060	1672
552	2061	1666
553	2061	1659
554	2062	1653
555	2068	1651
556	2069	1646
557	2070	1640
558	2071	1634
559	2071	1627
560	2072	1621
561	2073	1615
562	2074	1610
563	2075	1604
564	2075	1598
565	2078	1593
566	2079	1587
567	2080	1582
568	2083	1578
569	2085	1573
570	2086	1567
571	2087	1562
572	2088	1556
573	2088	1550
574	2091	1545
575	2092	1540
576	2093	1534
577	2094	1529
578	2095	1523
579	2095	1517
580	2096	1512
581	2097	1506
582	2098	1500
583	2105	1499
584	2106	1494
585	2107	1489
586	2108	1483
587	2108	1477
588	2109	1472
589	2110	1466
590	2111	1461
591	2112	1455
592	2112	1450
593	2113	1444
594	2122	1444
595	2124	1440
596	2125	1435
597	2126	1429
598	2127	1424
599	2128	1418
600	2129	1413
601	2137	1413
602	2139	1408
603	2139	1402
604	2140	1397
605	2141	1392
606	2142	1387
607	2143	1381
608	2144	1376
609	2144	1371
610	2149	1368
611	2151	1363
612	2152	1358
613	2153	1353
614	2154	1348
615	2155	1343
616	2155	1338
617	2156	1332
618	2157	1327
619	2157	1322
620	2158	1317
621	2159	1312
622	2159	1306
623	2169	1307
624	2170	1302
625	2171	1297
626	2171	1291
627	2172	1286
628	2173	1281
629	2174	1276
630	2175	1271
631	2185	1272
632	2187	1268
633	2188	1263
634	2189	1258
635	2190	1253
636	2191	1248
637	2197	1246
638	2199	1242
639	2200	1237
640	2202	1233
641	2202	1228
642	2203	1223
643	2204	1218
644	2205	1214
645	2210	1211
646	2213	1207
647	2214	1202
648	2215	1197
649	2215	1193
650	2216	1188
651	2217	1183
652	2218	1178
653	2219	1174
654	2220	1169
655	2221	1164
656	2235	1167
657	2236	1162
658	2247	1163
659	2248	1158
660	2251	1154
661	2259	1153
662	2262	1150
663	2265	1146
664	2266	1141
665	2267	1137
666	2269	1132
667	2280	1133
668	2282	1129
669	2283	1124
670	2284	1120
671	2297	1121
672	2298	1116
673	2299	1111
674	2300	1107
675	2304	1104
676	2306	1100
677	2309	1096
678	2310	1092
679	2311	1087
680	2313	1083
681	2314	1079
682	2316	1075
683	2317	1070
684	2320	1067
685	2322	1062
686	2324	1059
687	2325	1054
688	2326	1050
689	2327	1045
690	2333	1043
691	2335	1039
692	2338	1035
693	2339	1031
694	2340	1027
695	2353	1028
696	2354	1023
697	2356	1019
698	2371	1021
699	2387	1023
